ean,sku,title,status
0023942301882,SUPV0068,Verbatim Charge 'n' Travel 70W Universal Violett AC Schnellladung Drinnen,updated
0023942301929,SUPV0070,Verbatim 30192 Ladegerät für Mobilgeräte Universal Blau AC Schnellladung Drinnen,updated
0023942301936,SUPV0071,Verbatim 30193 Ladegerät für Mobilgeräte Universal Violett AC Schnellladung,updated
0023942302117,USBV0018,Verbatim V200 USB-Stick 64GB NEU,updated
0023942302278,USBV0003,Verbatim USB-S USB-Stick 512GB NEU,updated
0023942302292,USBV0005,Verbatim USB-S USB-Stick 128GB NEU,updated
0023942302308,USBV0006,Verbatim USB-S USB-Stick 256GB NEU,updated
0023942302315,USBV0007,Verbatim USB-S USB-Stick 512GB NEU,updated
0023942318644,SUPV0026,Verbatim USB Kabel 2.0 2m 60W NEU,updated
0023942320319,SDXV0009,Verbatim 32031 Externes Solid State Drive 1 TB USB Typ-C USB 3.2 Gen 2x2 Grau,updated
0023942320883,SUPV0075,Verbatim LED 1920 Monitor Full HD NEU,updated
0023942321200,SUPV0039,Verbatim UTA-05 Universal Schwarz AC Drinnen,updated
0023942321217,SUPV0040,Verbatim UTA-06 Schwarz Drinnen,updated
0023942321460,SUPV0027,Verbatim WLAN USB Adapter 3.2 802.11a NEU,updated
0023942321514,SUPV0022,Verbatim CMH-08 USB Typ-C 5000 Mbit/s Silber,updated
0023942321521,SUPV0012,Verbatim CMH-09 USB Typ-C 10000 Mbit/s Silber,updated
0023942321538,SUPV0032,Verbatim CMH-13 USB Typ-C 10000 Mbit/s Silber,updated
0023942321545,SUPV0013,Verbatim CMH-14 USB Typ-C 5000 Mbit/s Silber,updated
0023942321569,SUPV0029,Verbatim 32156 Schnittstellen-Hub USB 3.2 Gen 1 (3.1 Gen 1) Type-C 5000 Mbit/s,updated
0023942321583,SUPV0020,Verbatim 32158 Schnittstellen-Hub USB 3.2 Gen 1 (3.1 Gen 1) Type-C 5000 Mbit/s,updated
0023942322009,SUPV0044,"Verbatim GNC-35 Universal Schwarz, Grau AC Schnellladung Drinnen",updated
0023942322030,SUPV0047,"Verbatim GNC-140 Universal Schwarz, Grau AC Schnellladung Drinnen",updated
0023942322047,SUPV0048,"Verbatim GNC-200 Universal Schwarz, Grau AC Schnellladung Drinnen",updated
0023942322177,SUPV0053,Verbatim GaN Charger 65W Universal Schwarz AC Schnellladung Drinnen,updated
0023942322382,SUPV0038,"Verbatim 32238 Computerbildschirm 39,6 cm (15.6"") 3840 x 2160 Pixel 4K Ultra HD",updated
0023942322399,SUPV0037,"Verbatim 32239 Computerbildschirm 43,9 cm (17.3"") 3840 x 2160 Pixel 4K Ultra HD",updated
0023942323402,SUPV0084,"Verbatim Cool 'n' Go AirJet Grau, Violett Handventilator",updated
0023942323419,SUPV0085,"Verbatim Cool 'n' Go AirJet Silber, Weiß Handventilator",updated
0023942324034,SUPV0073,Verbatim FHD Monitor Full HD NEU,updated
0023942435082,SUPV0056,"Verbatim 43508 DVD-Rohling 4,7 GB DVD+R 10 Stück(e)",updated
0023942437895,SUPV0064,"Verbatim BD-R XL 100 GB* 4x, mit Tintenstrahldrucker großflächig bedruckbar",updated
0023942438892,SUPV0011,Verbatim 43889 Optisches Laufwerk Blu-Ray RW Schwarz,updated
0023942438908,SUPV0004,Verbatim External Slimline Optisches Laufwerk Blu-Ray RW Schwarz,updated
0023942490623,USBV0013,Verbatim USB-S USB-Stick 8GB NEU,updated
0023942490654,USBV0016,Verbatim USB-S USB-Stick 64GB NEU,updated
0023942490715,USBV0017,Verbatim USB-S USB-Stick 128GB NEU,updated
0023942491729,USBV0008,Verbatim V3 USB-Stick 16GB USB 3.0 NEU,updated
0023942495918,SUPV0034,"Verbatim 49591 Computerbildschirm 35,6 cm (14"") 1920 x 1080 Pixel Full HD LCD",updated
0023942495925,SUPV0036,"Verbatim 49592 Computerbildschirm 39,6 cm (15.6"") 1920 x 1080 Pixel Full HD LCD",updated
0023942495932,SUPV0035,"Verbatim 49593 Computerbildschirm 43,9 cm (17.3"") 1920 x 1080 Pixel Full HD LCD",updated
0023942530718,HDXV0002,Verbatim Festplatte HDD 1TB USB 3.0 NEU,updated
0023942531777,HDXV0003,Verbatim Festplatte HDD 2TB USB 3.0 NEU,updated
0023942531944,HDXV0005,Verbatim Festplatte HDD 1TB USB 3.0 NEU,updated
0023942531975,HDXV0006,Verbatim Festplatte HDD 1TB USB 3.0 NEU,updated
0023942532231,HDXV0011,Verbatim Festplatte HDD 4TB USB 3.0 NEU,updated
0023942535041,SUPV0001,Verbatim External Slimline CD/DVD Writer Optisches Laufwerk DVD±RW Schwarz,updated
0023942991045,USBV0020,Verbatim USB-Stick 16GB USB 3.0 NEU,updated
0023942991052,USBV0021,Verbatim Metal Executive 32 GB - USB 3.0 Drive – Gold,updated
0191999788403,SUPL2003,Lenovo AF0135EU Docking Station 4K UHD NEU,updated
0195348192095,SUPL2002,Lenovo USB-C Kabel USB 3.2 4K UHD NEU,updated
0195348677295,SUPL2008,Lenovo B00300EU Thunderbolt Kabel 230W NEU,updated
0195892052982,SUPL2024,Lenovo B30090EU Docking Station USB 3.2 NEU,updated
0195892120551,SUPL2027,Lenovo USB4 USB-C Kabel USB 4 65W NEU,updated
0195892130499,SUPL2030,Lenovo USB4 USB-C Kabel USB 4 135W NEU,updated
0196068757403,SUPH0029,HP G4 Docking Station 120W NEU,updated
0197498152394,SUPH4049,HP Poly Poly CS540A Headset mit Handset Lifter,updated
0198122902057,MOHP0024,"HP Series 5 Pro Serie 5 Pro 23,8-Zoll-FHD-USB-C-Konferenzmonitor – 524pm",error: 500 Server Error: Internal Server Error for url: https://api.ebay.com/sell/inventory/v1/inventory_item/MOHP0024
0198156725684,MOL0000,Lenovo T24D-40 Monitor Full HD NEU,updated
0198415233004,SUPH0050,HP G6 Thunderbolt Kabel 100W NEU,updated
0198415314048,SUPH0051,HP USB-C Kabel USB 3.2 100W NEU,error: HTTP 500 | Codes: 25604 | Input error. Seller Inventory Service can not publish the data. Product not found. Please try again or contact customer support..
0198415314925,SUPH0049,HP G6 Thunderbolt Kabel 180W NEU,updated
023942302254,USBV0000,Verbatim USB-S USB-Stick 128GB NEU,updated
023942302261,USBV0002,Verbatim USB-S USB-Stick 256GB NEU,updated
023942491682,USBV0012,Verbatim V3 USB-Stick 256GB USB 3.0 NEU,updated
