ItemNo;Description;Module;ItemMainGroup;ItemSubGroup;Stock;Price_B2B;ManufacturerCode;ManufacturerName;ReferenceNumber;GTIN;GrossWeight
ANTB0005;ANTHBOT Battery 5000mAh;BABHOME;GA;;2;121,80;ANTHBOT;Anthbot;210010103;8885022190166;0,548
ANTB0008;ANTHBOT "RTK Wall Mount Kit";BABHOME;GA;;1;50,75;ANTHBOT;Anthbot;210010097;8885022190173;1,29
CAMD0003;DJI O4 Air Unit für FPV-Drohne;BABHOME;CE;;1;88,31;DJI;DJI;DF3L2904;6941565997395;0,029
CPUA0065;AMD Ryzen 5 5600X BOX | 100-100000065BOX;CPU;AMD;BOX;19;116,91;AMD;Advanced Micro Devices;100-100000065BOX;0730143312042;0,48
CPUA0067;AMD Ryzen 9 5950X BOX | 100-100000059WOF;CPU;AMD;BOX;178;265,50;AMD;Advanced Micro Devices;100-100000059WOF;0730143312745;0,12
CPUA0098;AMD Ryzen 7 7700X BOX | 100-100000591WOF;CPU;AMD;BOX;42;167,51;AMD;Advanced Micro Devices;100-100000591WOF;730143314428;0,19
CPUA0125;AMD Ryzen 9 9900X BOX | 100-100000662WOF;CPU;AMD;BOX;43;265,91;AMD;Advanced Micro Devices;100-100000662WOF;0730143315296;0,1705
CPUA0126;AMD Ryzen 9 9950X BOX | 100-100001277WOF;CPU;AMD;BOX;68;389,51;AMD;Advanced Micro Devices;100-100001277WOF;0730143315272;0,171
CPUA0130;AMD Ryzen 7 9800X3D BOX | 100-100001084WOF;CPU;AMD;BOX;19;335,00;AMD;Advanced Micro Devices;100-100001084WOF;0730143315289;0,094
CPUA0135;AMD Ryzen 9 9900X3D BOX | 100-100001368WOF;CPU;AMD;BOX;53;409,50;AMD;Advanced Micro Devices;100-100001368WOF;0730143315579;0,149
CPUA0136;AMD Ryzen 9 9950X3D BOX | 100-100000719WOF;CPU;AMD;BOX;58;487,01;AMD;Advanced Micro Devices;100-100000719WOF;0730143315555;0,154
CPUA0139;AMD Ryzen 7 9850X3D BOX | 100-100001973WOF;CPU;AMD;BOX;108;362,51;AMD;Advanced Micro Devices;100-100001973WOF;0730143318280;0,096
CPUI0173;Intel Cpu Core i9-13900KF, box | BX8071513900KF;CPU;INTEL;BOX;1;349,51;INTEL;Intel;BX8071513900KF;5032037258623;0,1
CPUI0201;Intel Cpu Core i5-14600K, box | BX8071514600K;CPU;INTEL;BOX;19;249,01;INTEL;Intel;BX8071514600K;5032037278447;0,103
CPUI0203;Intel Cpu Core i7-14700K, box | BX8071514700K;CPU;INTEL;BOX;4;335,00;INTEL;Intel;BX8071514700K;5032037278485;0,103
CPUI0204;Intel Cpu Core i7-14700KF, box | BX8071514700KF;CPU;INTEL;BOX;1;297,01;INTEL;Intel;BX8071514700KF;5032037278508;0,1044
CPUI0205;Intel Cpu Core i9-14900K, box | BX8071514900K;CPU;INTEL;BOX;27;392,50;INTEL;Intel;BX8071514900K;5032037278522;0,1046
CPUI0206;Intel Cpu Core i9-14900KF, box | BX8071514900KF;CPU;INTEL;BOX;87;365,00;INTEL;Intel;BX8071514900KF;5032037278546;0,1046
CPUI0215;Intel Cpu Core 7-14700, box | BX8071514700;CPU;INTEL;BOX;118;308,00;INTEL;Intel;BX8071514700;5032037279239;0,49
CPUI0216;Intel Cpu Core 7-14700, tray | CM8071504820817;CPU;INTEL;TRAY;7;320,01;INTEL;Intel;CM8071504820817;5059902133663;0,04
CPUI0222;Intel Cpu Core i5-14400, box | BX8071514400;CPU;INTEL;BOX;129;188,51;INTEL;Intel;BX8071514400;5032037279130;0,46
CPUI0232;Intel Cpu Ultra 5 245K, box | BX80768245K;CPU;INTEL;BOX;46;149,00;INTEL;Intel;BX80768245K;5032037282086;0,104
CPUI0233;Intel Cpu Ultra 5 245KF, box | BX80768245KF;CPU;INTEL;BOX;45;137,50;INTEL;Intel;BX80768245KF;5032037282109;0,1024
CPUI0235;Intel Cpu Ultra 7 265KF, box | BX80768265KF;CPU;INTEL;BOX;135;212,00;INTEL;Intel;BX80768265KF;5032037281980;0,1048
CPUI0241;Intel Cpu Ultra 9 285, box | BX80768285;CPU;INTEL;BOX;92;499,00;INTEL;Intel;BX80768285;5032037282390;0,74
CPUI0253;Intel Cpu Ultra 7 270K, box | BX80768270K;CPU;INTEL;BOX;19;266,00;INTEL;Intel;BX80768270K;5032037284837;0,086
ENAB0001;Enabot ROLA PetPal Spiele Modul;SMART;;;16;22,84;ENAB;Enabot;WH287306;6972822120683;0,852
ENAB0002;Enabot ROLA PetPal Leckerlie Modul;SMART;;;12;24,36;ENAB;Enabot;WH287305;6972822120706;0,769
ENAB0004;Enabot ROLA Mini Cat Teaser;SMART;;;82;9,64;ENAB;Enabot;WH287377;6972822120867;0,094
ENAB0009;Enabot EBO Air2 White;SMART;;;67;137,03;ENAB;Enabot;WH287322;6972822120935;0,738
ENAB0010;Enabot EBO Air2 Blue;SMART;;;48;131,95;ENAB;Enabot;WH287323;6972822121079;0,742
ENAB0011;Enabot EBO Air2 Pink;SMART;;;45;131,95;ENAB;Enabot;WH287324;6972822121000;0,714
ENAB0012;Enabot EBO Air2 Plus White;SMART;;;38;253,75;ENAB;Enabot;WH287325;6972822121178;1,072
ENAB0013;Enabot EBO Air2 Plus Grey;SMART;;;12;233,45;ENAB;Enabot;WH287326;6972822121246;1,07
ENAB0014;Enabot EBO Air2 Plus Pink;SMART;;;42;233,45;ENAB;Enabot;WH287327;6972822121314;1,068
GARE0003;ECOFLOW Camping Light;BAB GREENVISION;PPS;;13;51,16;ECOFLOW;Ecoflow;EFS-CLI-B-M1;4895251600545;0,35833
GARH0001;HOOKII Neomow X Series up to 1500m²;BABHOME;GA;;10;1421,00;HOOKII;HOOKII;NEOMOW X LE;6975849060284;27,65
GARH0002;HOOKII Neomow X Series up to 3000m²;BABHOME;GA;;10;1522,50;HOOKII;HOOKII;NEOMOW X SE;6975849060277;27,65
GARH0003;HOOKII Neomow X Series up to 4000m²;BABHOME;GA;;10;1522,50;HOOKII;HOOKII;NEOMOW X;6975849060116;27,65
GARH0004;HOOKII Neomow X Series up to 6000m²;BABHOME;GA;;5;1827,00;HOOKII;HOOKII;NEOMOW X PRO;6975849060123;27,65
GARH0005;HOOKII Neomow Canopy Garage;BABHOME;GA;;35;76,13;HOOKII;HOOKII;8955412000;6975849061229;1,962
HDIS0139;Seagate BarraCuda ST2000DM008 / 2TB / 3,5";FESTPLATTE;INTERN G;;20;93,18;SEAGATE;Seagate;ST2000DM008;0763649113653;0,392
