ID,Handle,Command,Title,Body HTML,SEO Title,SEO Description,Vendor,Type,Tags,Tags Command,Status,Published,Published Scope,Google Product Category,Variant SKU,Variant Price,Variant Compare At Price,Variant Cost,Variant Inventory Tracker,Variant Inventory Policy,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Variant Weight,Variant Weight Unit,Variant Barcode,Image Src,Image Command,Image Position,Image Alt Text,Metafield: custom.ek_price [number_decimal],Metafield: custom.margin_eur [number_decimal],Metafield: custom.last_sync [date_time],Metafield: mm-google-shopping.condition [single_line_text_field],Metafield: mm-google-shopping.mpn [single_line_text_field],Metafield: mm-google-shopping.custom_label_0 [single_line_text_field]
,antb0005-anthbot-battery-5000mah,MERGE,ANTHBOT Battery 5000mAh,"<p>ANTHBOT Battery 5000mAh</p>
<p>Marke: Anthbot</p>",ANTHBOT Battery 5000mAh,ANTHBOT Battery 5000mAh Marke: Anthbot. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Anthbot,Ladegeräte & Dockingstationen,"GA, Anthbot, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,ANTB0005,126.99,,91.35,shopify,deny,1,TRUE,TRUE,0.548,kg,8885022190166,,,,,91.35,13.13,2026-08-30T23:24:50,new,210010103,Technik
,babm0001-momcozy-m5-tragbare-milchpumpe-2er-pack-grau,MERGE,Momcozy - M5 Tragbare Milchpumpe (2er Pack) - Grau,"<p>Momcozy - M5 Tragbare Milchpumpe (2er Pack) - Grau</p>
<p>Marke: Momcozy</p>",Momcozy - M5 Tragbare Milchpumpe (2er Pack) - Grau,Momcozy - M5 Tragbare Milchpumpe (2er Pack) - Grau Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0001,169.99,,123.83,shopify,deny,247,TRUE,TRUE,1.378,kg,0647168301428,,,,,123.83,16.09,2026-08-30T23:24:50,new,,Technik
,babm0002-momcozy-m5-smart-tragbare-milchpumpe-2er-pack-grau,MERGE,Momcozy - M5 Smart Tragbare Milchpumpe (2er Pack) - Grau,"<p>Momcozy - M5 Smart Tragbare Milchpumpe (2er Pack) - Grau</p>
<p>Marke: Momcozy</p>",Momcozy - M5 Smart Tragbare Milchpumpe (2er Pack) - Grau,Momcozy - M5 Smart Tragbare Milchpumpe (2er Pack) - Grau Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0002,187.99,,138.04,shopify,deny,50,TRUE,TRUE,1.304,kg,0840506409774,,,,,138.04,16.72,2026-08-30T23:24:50,new,,Technik
,babm0003-momcozy-m6-freihaendige-milchpumpe-rot,MERGE,Momcozy - M6 Freihändige Milchpumpe - Rot,"<p>Momcozy - M6 Freihändige Milchpumpe - Rot</p>
<p>Marke: Momcozy</p>",Momcozy - M6 Freihändige Milchpumpe - Rot,Momcozy - M6 Freihändige Milchpumpe - Rot Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0003,118.99,,85.26,shopify,deny,169,TRUE,TRUE,0.914,kg,0762765367827,,,,,85.26,12.62,2026-08-30T23:24:50,new,,Technik
,babm0004-momcozy-m6-freihaendige-milchpumpe-2er-pack-rot,MERGE,Momcozy - M6 Freihändige Milchpumpe (2er Pack) - Rot,"<p>Momcozy - M6 Freihändige Milchpumpe (2er Pack) - Rot</p>
<p>Marke: Momcozy</p>",Momcozy - M6 Freihändige Milchpumpe (2er Pack) - Rot,Momcozy - M6 Freihändige Milchpumpe (2er Pack) - Rot Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0004,209.99,,154.79,shopify,deny,60,TRUE,TRUE,1.522,kg,0762765367834,,,,,154.79,18.11,2026-08-30T23:24:50,new,,Technik
,babm0005-momcozy-m9-freihaendige-milchpumpe-rot,MERGE,Momcozy - M9 Freihändige Milchpumpe - Rot,"<p>Momcozy - M9 Freihändige Milchpumpe - Rot</p>
<p>Marke: Momcozy</p>",Momcozy - M9 Freihändige Milchpumpe - Rot,Momcozy - M9 Freihändige Milchpumpe - Rot Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0005,149.99,,108.61,shopify,deny,44,TRUE,TRUE,1.128,kg,0762765367841,,,,,108.61,14.83,2026-08-30T23:24:50,new,,Technik
,babm0006-momcozy-m9-freihaendige-milchpumpe-2er-pack-rot,MERGE,Momcozy - M9 Freihändige Milchpumpe (2er Pack) - Rot,"<p>Momcozy - M9 Freihändige Milchpumpe (2er Pack) - Rot</p>
<p>Marke: Momcozy</p>",Momcozy - M9 Freihändige Milchpumpe (2er Pack) - Rot,Momcozy - M9 Freihändige Milchpumpe (2er Pack) - Rot Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0006,230.99,,170.52,shopify,deny,56,TRUE,TRUE,1.900,kg,0762765367858,,,,,170.52,19.69,2026-08-30T23:24:50,new,,Technik
,babm0007-momcozy-air-1-ultraflache-milchpumpe,MERGE,Momcozy - Air 1 Ultraflache Milchpumpe,"<p>Momcozy - Air 1 Ultraflache Milchpumpe</p>
<p>Marke: Momcozy</p>",Momcozy - Air 1 Ultraflache Milchpumpe,Momcozy - Air 1 Ultraflache Milchpumpe Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0007,399.99,,299.43,shopify,deny,100,TRUE,TRUE,2.366,kg,0840506400047,,,,,299.43,30.10,2026-08-30T23:24:50,new,,Technik
,babm0008-momcozy-babyflaschenwaermer,MERGE,Momcozy - Babyflaschenwärmer,"<p>Momcozy - Babyflaschenwärmer</p>
<p>Marke: Momcozy</p>",Momcozy - Babyflaschenwärmer,Momcozy - Babyflaschenwärmer Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0008,47.99,,30.96,shopify,deny,18,TRUE,TRUE,1.034,kg,0602835182359,,,,,30.96,8.39,2026-08-30T23:24:50,new,,Technik
,babm0009-momcozy-mobiler-babyflaschenwaermer,MERGE,Momcozy - mobiler Babyflaschenwärmer,"<p>Momcozy - mobiler Babyflaschenwärmer</p>
<p>Marke: Momcozy</p>",Momcozy - mobiler Babyflaschenwärmer,Momcozy - mobiler Babyflaschenwärmer Marke: Momcozy. Versandkostenfrei & sofort lieferbar bei Neovodeals.,Momcozy,"USB-Kabel, -Hubs & -Adapter","BA, Momcozy, import-ohne-bild",MERGE,draft,FALSE,global,Electronics,BABM0009,66.99,,45.68,shopify,deny,100,TRUE,TRUE,0.834,kg,0602835182366,,,,,45.68,9.33,2026-08-30T23:24:50,new,,Technik
