artnr;herstnr;artname;hersteller;hersturl;ean;hek;vkbrutto;verfuegbar;menge;eta;indate;gewicht;eol;kat1;kat2;kat3;kat4;kat5;kat6
360;ID0097;"LogiLink Mauspad 250x220mm Blau";LogiLink;;4052792002690;2,79;3,44;A;73;2026-06-15;1993-01-23;0,029;0;"Kabel & Adapter";Zubehör;"Sonstige Kabel";;;
382;58005;"LX-6200 (Edu Bundle. Bulk 10)";"LANCOM Systems GmbH";;;3176,3;3913,04;A;11;2026-06-15;1993-10-11;0;0;Netzwerk;Router;;;;
649;DN-9002-N;"DIGITUS Aufputzdose Cat5e 2xRJ45 geschirmt Signalweiß";Digitus;;4016032175681;8,66;10,67;A;54;2026-06-15;1996-12-20;0;0;Netzwerk;Netzwerkartikel;;;;
14802;G84-4400LPBDE-2;"Cherry G84-4400 LPBDE-2 PS/2 Black";Cherry;;4025112062667;128,31;158,08;A;18;2026-06-15;2005-08-09;0,678;0;Eingabegeräte;Tastaturen;;;;
19609;4479A002;"Canon BCI-3eBK black";"Canon Deutschland GmbH";;4960999865300;10,14;12,48;A;61;2026-06-17;2002-01-18;0,07;0;Verbrauchsmaterialien;Tinte;;;;
19615;4480A002;"Canon BCI-3eC cyan";"Canon Deutschland GmbH";;4960999865294;12,78;15,74;A;100;2026-06-17;2002-07-04;0,04;0;Verbrauchsmaterialien;Tinte;;;;
19619;4705A002;"Canon BCI-6BK black";"Canon Deutschland GmbH";;4960999864853;7,71;9,5;A;69;2026-06-17;2003-02-12;0,05;0;Verbrauchsmaterialien;Tinte;;;;
19632;TC201;"Z Brother TC201 Schriftband";Brother;;4977766050524;13,74;16,92;A;60;2026-06-18;2006-05-11;0,05;0;"Drucker & Scanner";"Zubehör Drucker";;;;
19723;C7115X;"C7115X HP TONER CARTRIDGE 15X";HP;;0725184518461;70,06;86,31;A;14;2026-06-17;2003-06-05;1,06;0;Verbrauchsmaterialien;Toner;;;;
25210;"DN-10 ORG-1/2U";"DIGITUS Kabelbürstenleiste 0,5HE 10"" 254mm grau";Digitus;;4016032139843;11,36;13,99;A;100;2026-06-15;2006-10-02;0;0;Gehäuse;"Netzwerk- und Serverschränke";"Zubehör Netzwerkschränke";;;
30470;GS108GE;"Netgear GS108GE";"NETGEAR Deutschland GmbH";;0606449025187;22,05;27,17;A;50;2026-06-17;2003-10-29;0,795;0;Netzwerk;"Switching Hubs";;;;
30471;GS105GE;"Netgear GS105GE";"NETGEAR Deutschland GmbH";;;21,28;26,22;A;100;2026-06-15;2003-10-29;0,534;0;Netzwerk;"Switching Hubs";;;;
36428;42855;"LINDY Konverter USB Seriell Lite RS232 DB9 PL-2303RA";"LINDY- Elektronic GmbH";;4002888428552;11,6;14,28;A;64;2026-06-18;2008-04-21;0;0;"Kabel & Adapter";USB;"USB 2.0";;;
40034;RBC24;"APC Ersatzbatterie RBC24";"APC Deutschland GmbH";;0731304015772;471,28;580,59;A;9;2026-06-18;2004-09-15;12,65;0;"Energie & USV";"USV & Stromversorgung";;;;
36404;77022;"USB 2.0 A > B (ST-ST) 1,8m Adapterkabel Grau";No-Name;;4017538770226;0,99;1,21;V;100;;1999-09-27;0,049;0;"Kabel & Adapter";USB;"USB 2.0";;;
30738;TL-SG1016;"16P TP-Link TL-SG1016 RM";"TP-Link Technologies CO. LTD.";;6935364020095;52,04;64,11;A;43;2026-06-17;2010-08-11;2,142;0;Netzwerk;"Switching Hubs";;;;
40035;RBC7;"APC Ersatzbatterie Nr.7 RBC7";"APC Deutschland GmbH";;0731304003298;248;305,52;V;1;;2004-09-21;11,99;0;"Energie & USV";"USV & Stromversorgung";;;;
40039;RBC22;"APC Ersatzbatterie RBC22";"APC Deutschland GmbH";;0731304015796;238,53;293,87;A;5;2026-06-18;2005-08-30;7,03;0;"Energie & USV";"USV & Stromversorgung";;;;
45032;221162;"Equip RJ45 Kupplung 1-1 Cat6 Outdoor";EQUIP;;;9,17;11,28;A;500;2026-06-15;2002-07-26;0;0;"Kabel & Adapter";Netzwerk;"Sonstige Netzwerk-Kabel";;;
41105;M-5400-0;"Cherry WheelMouse M-5400 weiß";Cherry;;4025112082962;8,13;10,01;A;27;2026-06-15;2014-09-01;0,15;0;Eingabegeräte;Mäuse;;;;
50178;RBC4;"APC Ersatzbatterie Nr.4 RBC4";"APC Deutschland GmbH";;0731304003267;94,97;117;A;10;2026-06-18;2003-10-30;4,09;0;"Energie & USV";"USV & Stromversorgung";;;;
63126;C7978A;"LTO HP C7978A Ultrium Cleaning Cartridge";"Hewlett Packard Enterprise";;0808736038799;36,2;44,6;A;69;2026-06-16;2002-06-06;0,206;0;Verbrauchsmaterialien;Streamer-Tapes;;;;
63976;MR-L6MQN-01;"LTO Quantum LTO6 MR-L6MQN-01 Ultrium 6 - 2.5 TB / 6.25 TB BAFE";Quantum;;0768268035881;31,2;38,44;A;27;2026-06-18;2013-09-19;0,24;0;Verbrauchsmaterialien;Streamer-Tapes;;;;
64028;G83-6105LUNDE-0;"Cherry G83-6105 Lunde-0 USB beige QWERTZ DE";Cherry;;4025112010330;30,94;38,12;A;300;2026-06-15;2001-03-08;0,811;0;Eingabegeräte;Tastaturen;;;;
64133;USED-Kosatec-64133;"VS Used-IT-Notebook Garantieverlängerung auf 24 Monate";Sonstige;;4251538810739;19,9;20,6;;0;;2013-09-26;0;0;"Used IT";"Used IT Notebooks";;;;
