ean,brand,title_alt,title_neu,final,len_alt,len_neu,ok
4719692007018,G.Skill,G.Skill Ripjaws V F4-3200C16D-32GVK memory module,G.Skill F4-3200C16D-32GVK RAM Arbeitsspeicher 32GB 3200MHz DDR4 2x Kit NEU,G.Skill F4-3200C16D-32GVK RAM Arbeitsspeicher 32GB 3200MHz DDR4 2x Kit NEU,49,74,JA
5099206066670,Logitech,Logitech M330 SILENT PLUS mouse,Logitech M330 SILENT Maus 1000 DPI kabellos leise NEU,Logitech M330 SILENT Maus 1000 DPI kabellos leise NEU,31,53,JA
4023125027239,DECT,DECT FRITZ! 210 smart plug,DECT FRITZ Smarte Steckdose IP44 kabellos NEU,DECT FRITZ Smarte Steckdose IP44 kabellos NEU,26,45,JA
5099206051805,Logitech,Logitech Bluetooth Audio Receiver,Logitech Bluetooth Audio Empfänger 15m NEU,Logitech Bluetooth Audio Empfänger 15m NEU,33,42,JA
0619659125905,SanDisk,SanDisk Cruzer Blade USB flash drive,SanDisk Cruzer USB-Stick 128GB NEU,SanDisk Cruzer USB-Stick 128GB NEU,36,34,JA
5099206066823,Logitech,Logitech 920-008221 keyboard,Logitech Maus Bluetooth NEU,Logitech 920-008221 keyboard,28,27,NEIN
0810354023514,Ubiquiti,Ubiquiti UAP-AC-PRO wireless access point,Ubiquiti UAP-AC-PRO WLAN Access Point Wi-Fi 5 kabellos NEU,Ubiquiti UAP-AC-PRO WLAN Access Point Wi-Fi 5 kabellos NEU,41,58,JA
0888462698429,Apple,Apple MLL82ZM/A USB cable,Apple MLL82ZM USB Kabel 2m NEU,Apple MLL82ZM USB Kabel 2m NEU,25,30,JA
6935364020064,TP-Link,TP-Link 5-Port-10/100Mbit/s-Desktop-Switch,TP-Link Netzwerk Switch 5-Port NEU,TP-Link Netzwerk Switch 5-Port NEU,42,34,JA
0023942491729,Verbatim,Verbatim V3 - USB 3.0-Stick 16 GB - Schwarz,Verbatim V3 USB-Stick 16GB USB 3.0 NEU,Verbatim V3 USB-Stick 16GB USB 3.0 NEU,43,38,JA
0023942491743,Verbatim,Verbatim V3 - USB 3.0-Stick 64 GB - Schwarz,Verbatim V3 USB-Stick 64GB USB 3.0 NEU,Verbatim V3 USB-Stick 64GB USB 3.0 NEU,43,38,JA
0097855119551,Logitech,Logitech 989-000171 microphone,Logitech Mikrofon kabellos NEU,Logitech Mikrofon kabellos NEU,30,30,JA
0619659069193,SanDisk,SanDisk Cruzer Blade 32GB USB flash drive,SanDisk Cruzer Blade 32GB USB-Stick NEU,SanDisk Cruzer Blade 32GB USB-Stick NEU,41,39,JA
0619659097318,SanDisk,SanDisk Cruzer Blade USB flash drive,SanDisk Cruzer USB-Stick 64GB NEU,SanDisk Cruzer USB-Stick 64GB NEU,36,33,JA
0023942491736,Verbatim,Verbatim V3 - USB 3.0-Stick 32 GB - Schwarz,Verbatim V3 USB-Stick 32GB USB 3.0 NEU,Verbatim V3 USB-Stick 32GB USB 3.0 NEU,43,38,JA
0023942490647,Verbatim,Verbatim PinStripe - USB-Stick 32 GB - Schwarz,Verbatim USB-S USB-Stick 32GB NEU,Verbatim USB-S USB-Stick 32GB NEU,46,33,JA
5099206066687,Logitech,Logitech 910-004910 mouse,Logitech Maus 1000 DPI kabellos leise NEU,Logitech Maus 1000 DPI kabellos leise NEU,25,41,JA
0023942490623,Verbatim,Verbatim PinStripe - USB-Stick 8 GB - Schwarz,Verbatim USB-S USB-Stick 8GB NEU,Verbatim USB-S USB-Stick 8GB NEU,45,32,JA
0023942991069,Verbatim,Verbatim Metal Executive - USB 3.0-Stick 64 GB - Gold,Verbatim USB-Stick 64GB USB 3.0 NEU,Verbatim USB-Stick 64GB USB 3.0 NEU,53,35,JA
6935364099305,TP-Link,TP-Link 300Mbit/s-WLAN-Repeater,TP-Link WLAN-R NEU,TP-Link 300Mbit/s-WLAN-Repeater,31,18,NEIN
5099206038844,Logitech,Logitech 981-000475 headphones/headset,Logitech Headset NEU,Logitech 981-000475 headphones/headset,38,20,NEIN
5099206039179,Logitech,Logitech 920-004511 keyboard,Logitech Maus kabellos NEU,Logitech 920-004511 keyboard,28,26,NEIN
5099206063846,Logitech,Logitech 920-007905 keyboard,Logitech Maus kabellos NEU,Logitech 920-007905 keyboard,28,26,NEIN
5099206059429,Logitech,Logitech 920-007145 keyboard,Logitech Tastatur kabellos NEU,Logitech Tastatur kabellos NEU,28,30,JA
0191200521539,Lenovo,Lenovo 4X20M26272 Netzteil & Spannungsumwandler 65 W Schwarz,Lenovo X20M26272 ATX Netzteil 65W NEU,Lenovo X20M26272 ATX Netzteil 65W NEU,60,37,JA
5099206061309,Logitech,Logitech 960-001055 webcam,Logitech Webcam Full HD NEU,Logitech 960-001055 webcam,26,27,NEIN
4015867104675,Honeywell,Honeywell MS5145 Eclipse,Honeywell MS5145 NEU,Honeywell MS5145 Eclipse,24,20,NEIN
5099206066199,Logitech,Logitech M220 Silent mouse,Logitech M220 Maus 1000 DPI kabellos leise NEU,Logitech M220 Maus 1000 DPI kabellos leise NEU,26,46,JA
5099206023901,Logitech,Logitech Marathon M705 mouse,Logitech M705 Maus 1000 DPI kabellos NEU,Logitech M705 Maus 1000 DPI kabellos NEU,28,40,JA
5099206048782,Logitech,Logitech 980-000814 loudspeaker,Logitech NEU,Logitech 980-000814 loudspeaker,31,12,NEIN
0885909627448,Apple,Apple Lightning - USB,Apple Lightning - USB Kabel 2.0 2m NEU,Apple Lightning - USB Kabel 2.0 2m NEU,21,38,JA
0023942490654,Verbatim,Verbatim PinStripe - USB-Stick 64 GB - Schwarz,Verbatim USB-S USB-Stick 64GB NEU,Verbatim USB-S USB-Stick 64GB NEU,46,33,JA
5099206027282,Logitech,Logitech 910-002238 mouse,Logitech Maus 1000 DPI kabellos NEU,Logitech Maus 1000 DPI kabellos NEU,25,35,JA
5099206059030,Logitech,Logitech 960-001034 video conferencing system,Logitech Full HD NEU,Logitech 960-001034 video conferencing system,45,20,NEIN
5099206070011,Logitech,Logitech 910-004861 wireless presenter,Logitech Bluetooth 30m NEU,Logitech 910-004861 wireless presenter,38,26,NEIN
5099206065086,Logitech,Logitech 910-004791 mouse,Logitech Maus Bluetooth 1000 DPI NEU,Logitech Maus Bluetooth 1000 DPI NEU,25,36,JA
4719692013446,G.Skill,G.Skill Aegis F4-3000C16D-16GISB memory module,G.Skill F4-3000C16D-16GISB RAM Arbeitsspeicher 16GB 3000MHz DDR4 2x Kit NEU,G.Skill F4-3000C16D-16GISB RAM Arbeitsspeicher 16GB 3000MHz DDR4 2x Kit NEU,46,75,JA
4719692015198,G.Skill,G.Skill Trident Z RGB F4-3200C16D-16GTZR memory module,G.Skill RAM Arbeitsspeicher 16GB 3200MHz DDR4 2x Kit NEU,G.Skill RAM Arbeitsspeicher 16GB 3200MHz DDR4 2x Kit NEU,54,56,JA
0191999788403,Lenovo,Lenovo 40AF0135EU laptop-dockingstation & portreplikator Kabelgebunden Schwarz,Lenovo AF0135EU Docking Station 4K UHD NEU,Lenovo AF0135EU Docking Station 4K UHD NEU,78,42,JA
5099206072060,Logitech,Logitech MeetUp video conferencing system,Logitech 4K UHD NEU,Logitech MeetUp video conferencing system,41,19,NEIN
4719692013439,G.Skill,G.Skill Aegis F4-3000C16S-8GISB memory module,G.Skill F4-3000C16S-8GISB RAM Arbeitsspeicher 8GB 3000MHz DDR4 NEU,G.Skill F4-3000C16S-8GISB RAM Arbeitsspeicher 8GB 3000MHz DDR4 NEU,45,66,JA
